"ticker";"2018";"2019";"2020";"2021";"2022";"2023"
"HAL";523150000000;421480000000;316700000000;220470000000;135730000000;35770000000
"HBI";54520000000;45380000000;35070000000;25830000000;12210000000;1830000000
"HOG";55440000000;45670000000;35620000000;25790000000;16080000000;4840000000
"HAS";510240000000;414450000000;312810000000;214040000000;18420000000;10090000000
"HCA";542670000000;450020000000;355640000000;279900000000;167840000000;77240000000
"PEAK";513330000000;417410000000;316270000000;219450000000;113470000000;11290000000
"HP";55240000000;44940000000;32490000000;22500000000;15220000000;4130000000
"HSIC";511880000000;49560000000;39540000000;210750000000;110820000000;9970000000
"HSY";522470000000;430690000000;331700000000;239850000000;147490000000;43720000000
"HES";511800000000;420370000000;316210000000;222920000000;143720000000;48260000000
"HPE";518470000000;420500000000;315320000000;220390000000;120450000000;23060000000
"HLT";521160000000;430940000000;330860000000;243470000000;134170000000;39480000000
"HFC";48790000000;38200000000;24180000000;15320000000;5930000000;0
"HOLX";511950000000;413770000000;318710000000;219280000000;118390000000;18480000000
"HD";5194070000000;4238210000000;3285960000000;2433360000000;1321920000000;333100000000
"HON";596390000000;4125860000000;3149240000000;2143540000000;1144070000000;125080000000
"HRL";522810000000;424120000000;325160000000;226480000000;124880000000;20970000000
"HST";512340000000;413230000000;310310000000;212410000000;111640000000;11410000000
"HWM";58140000000;413310000000;312370000000;213590000000;116300000000;20480000000
"HPQ";531780000000;429860000000;331710000000;240780000000;126390000000;29940000000
"HRB";55210000000;44580000000;32900000000;24130000000;15670000000;5890000000
"HUM";538830000000;448410000000;354290000000;259620000000;164840000000;57550000000
"HBAN";512470000000;415380000000;312910000000;222160000000;120340000000;16240000000
"HII";57970000000;410230000000;36900000000;27480000000;19200000000;8810000000
"IBM";5101440000000;4118900000000;3112160000000;2119860000000;1126280000000;134770000000
"IEX";59580000000;413080000000;315080000000;217960000000;117220000000;17250000000
"IDXX";516010000000;422310000000;342630000000;255830000000;133780000000;42440000000
"IFF";514310000000;413770000000;311630000000;238340000000;126730000000;17930000000
"INFO";419060000000;329600000000;237880000000;153040000000;43340000000;0
"ITW";541560000000;457440000000;364530000000;277460000000;167670000000;74800000000
"ILMN";544080000000;448760000000;354020000000;259460000000;131800000000;26660000000
"INCY";513560000000;418870000000;319040000000;216210000000;117860000000;14490000000
"IR";54050000000;47520000000;319020000000;225210000000;121150000000;28280000000
