"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"ROK";"(125.5M)";"(132.8M)";"(113.9M)";"(120.3M)";"(141.1M)";"(9.9M)";"(20.7M)";"(550.9M)";"(2.49B)";"(16.6M)";"500K";"4.5M";"14.9M";"400K";"600K"
"ROL";"(27.18M)";"(27.15M)";"(23.23M)";"(27.19M)";"(30.63M)";"(76.77M)";"(430.56M)";"(147.61M)";"(146.1M)";"(119.19M)";"1.84M";"1.76M";"7.7M";"74.44M";"14.6M"
"ROP";"(58.6M)";"(62.9M)";"(46M)";"(58.2M)";"(70.3M)";"(1.28B)";"(2.39B)";"(6.02B)";"(217M)";"(4.28B)";"-";"1.16B";"-";"-";"-"
"ROST";"(413.9M)";"(555.48M)";"(405.43M)";"(557.84M)";"(654.07M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"RSG";"(1.07B)";"(1.21B)";"(1.19B)";"(1.32B)";"(1.45B)";"(277.3M)";"(575.1M)";"(769.5M)";"(1.22B)";"(3.04B)";"120.8M";"64.5M";"63M";"65.8M";"83.4M"
"RTX";"(3.29B)";"(3.01B)";"(2.25B)";"(2.55B)";"(2.93B)";"(15.4B)";"(9M)";"(419M)";"(1.09B)";"(66M)";"1.11B";"134M";"5.76B";"1.88B";"94M"
"RVTY";"(93.25M)";"(81.33M)";"(77.51M)";"(86.02M)";"(85.63M)";"(97.69M)";"(400.41M)";"(411.5M)";"(3.98B)";"(7.52M)";"38.03M";"550K";"4.28M";"1.46M";"14.51M"
"SBAC";"(149.81M)";"(154.24M)";"(128.57M)";"(1.39B)";"(1.39B)";"(451.83M)";"(773.96M)";"(271.42M)";"-";"-";"-";"-";"-";"-";"-"
"SBNY";"(11.49M)";"(32.94M)";"(35.04M)";"(32.2M)";"(48.32M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"SBUX";"(1.98B)";"(1.81B)";"(1.48B)";"(1.47B)";"(1.84B)";"(1.31B)";"-";"-";"-";"-";"608.2M";"684.3M";"-";"1.18B";"59.3M"
"SCHW";"(570M)";"(708M)";"(631M)";"(916M)";"(971M)";"-";"-";"-";"-";"-";"-";"-";"14.75B";"-";"-"
"SEDG";"(38.61M)";"(72.56M)";"(126.79M)";"(149.25M)";"(169.34M)";"(108.93M)";"(109.9M)";"-";"-";"-";"-";"-";"-";"-";"24.36M"
"SEE";"(168.6M)";"(189.7M)";"(181.1M)";"(213.1M)";"(237.3M)";"(68.4M)";"(455.2M)";"-";"(100K)";"(9.6M)";"6.8M";"-";"13.6M";"89.4M";"9.4M"
"SHW";"(250.96M)";"(328.9M)";"(303.8M)";"(372M)";"(644.5M)";"-";"(77.3M)";"-";"(210.9M)";"(1B)";"38.35M";"6.9M";"60.7M";"137.3M";"33.2M"
"SJM";"(359.8M)";"(269.3M)";"(306.7M)";"(417.5M)";"(477.4M)";"(1.9B)";"-";"-";"-";"-";"370.6M";"2.4M";"564M";"130M";"686.3M"
"SLB";"(2.26B)";"(1.96B)";"(1.22B)";"(1.18B)";"(1.72B)";"(292M)";"(23M)";"(33M)";"(103M)";"(58M)";"579M";"-";"434M";"-";"1.08B"
"SNA";"(90.9M)";"(99.4M)";"(65.6M)";"(70.1M)";"(84.2M)";"(3M)";"(38.6M)";"(41.5M)";"(199.7M)";"-";"700K";"1.7M";"1.8M";"2.1M";"5.6M"
"SNPS";"(101.93M)";"(202.39M)";"(158.76M)";"(95.74M)";"(139.08M)";"(652.64M)";"(36.61M)";"(201.05M)";"(296.02M)";"(422.37M)";"1.66M";"-";"-";"-";"-"
"SO";"(8.39B)";"(7.95B)";"(7.8B)";"(7.68B)";"(8.57B)";"(179M)";"(198M)";"(161M)";"(345M)";"-";"5.51B";"5.32B";"1.41B";"1.42B";"348M"
"SPG";"(745.97M)";"(815.81M)";"(4.06B)";"(784.92M)";"(745.39M)";"(81.51M)";"(6.85M)";"(16.11M)";"(2.22M)";"(1.85M)";"161K";"139K";"220K";"20.9M";"29.68M"
"SPGI";"(113M)";"(115M)";"(76M)";"(35M)";"(89M)";"(401M)";"(91M)";"(201M)";"(99M)";"210M";"6M";"85M";"18M";"16M";"3.92B"
"SRE";"(3.54B)";"(3.71B)";"(4.68B)";"(5.02B)";"(5.36B)";"(10.17B)";"(1.8B)";"(652M)";"(633M)";"(376M)";"1.67B";"904M";"45M";"3.24B";"1.73B"
"STE";"(189.72M)";"(214.52M)";"(239.26M)";"(287.56M)";"(361.97M)";"(13.31M)";"(109.81M)";"(909.19M)";"(550.45M)";"(42.57M)";"8.05M";"10.65M";"3.35M";"175.13M";"21.21M"
"STLD";"(239.39M)";"(451.95M)";"(1.2B)";"(1.01B)";"(908.9M)";"(434M)";"(97.11M)";"(60.01M)";"-";"(134.09M)";"-";"-";"-";"-";"-"
"STT";"(935M)";"(1.38B)";"(2B)";"(1.03B)";"(984M)";"(2.6B)";"(54M)";"-";"(346M)";"-";"-";"-";"-";"13M";"-"
"STX";"(602M)";"(585M)";"(498M)";"(381M)";"(316M)";"-";"-";"-";"-";"-";"144M";"1M";"4M";"-";"534M"
"STZ";"(886.3M)";"(726.5M)";"(864.6M)";"(1.03B)";"(1.04B)";"(45.6M)";"(36.2M)";"(19.9M)";"(53.5M)";"(37.1M)";"72.3M";"278M";"1.02B";"8.7M";"103.4M"
"SWK";"(492.1M)";"(424.7M)";"(348.1M)";"(519.1M)";"(530.4M)";"(524.6M)";"(685.4M)";"(1.32B)";"(2.04B)";"(71.9M)";"42.2M";"176.7M";"79M";"13.7M";"4.19B"
"SWKS";"(430.9M)";"(423.4M)";"(398.5M)";"(652.1M)";"(509.7M)";"(404M)";"-";"-";"(2.75B)";"-";"-";"-";"-";"-";"7.7M"
"SYF";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"SYK";"(572M)";"(649M)";"(487M)";"(525M)";"(588M)";"(2.47B)";"(802M)";"(4.22B)";"(339M)";"(2.56B)";"-";"-";"-";"-";"-"
"SYY";"(692.39M)";"(720.42M)";"(470.68M)";"(632.8M)";"(793.33M)";"(106.62M)";"(142.78M)";"-";"(1.28B)";"(37.38M)";"170.82M";"28.72M";"59.15M";"24.14M";"42.15M"
"T";"(21.25B)";"(19.64B)";"(15.68B)";"(15.55B)";"(19.63B)";"(43.31B)";"(1.81B)";"(1.85B)";"(25.45B)";"(10.2B)";"2.15B";"4.68B";"3.64B";"7.14B";"199M"
"TAP";"(651.7M)";"(593.8M)";"(574.8M)";"(522.6M)";"(661.4M)";"-";"-";"-";"-";"-";"32.5M";"115.9M";"158.8M";"26M";"32.2M"
"TDG";"(73.34M)";"(101.59M)";"(105M)";"(105M)";"(119M)";"(667.62M)";"(3.98B)";"-";"(963M)";"(437M)";"-";"188.77M";"904M";"259M";"3M"
"TDY";"(86.8M)";"(88.4M)";"(71.4M)";"(101.6M)";"(92.6M)";"(3.1M)";"(484M)";"(29M)";"(3.72B)";"(99.6M)";"-";"-";"-";"-";"-"
"TECH";"(25.41M)";"(51.74M)";"(44.3M)";"(44.91M)";"(38.24M)";"(289.49M)";"-";"(225.35M)";"-";"(101.18M)";"-";"-";"-";"-";"17.82M"
"TEL";"(935M)";"(749M)";"(560M)";"(690M)";"(768M)";"(153M)";"(283M)";"(339M)";"(423M)";"(220M)";"23M";"340M";"17M";"86M";"106M"
"TER";"(114.38M)";"(134.64M)";"(184.98M)";"(132.47M)";"(163.25M)";"(169.47M)";"(79.74M)";"-";"(12M)";"-";"7.92M";"-";"149K";"-";"3.41M"
"TFC";"-";"-";"(815M)";"(1.05B)";"(711M)";"(296M)";"-";"(2.44B)";"(1.64B)";"(4.67B)";"-";"6.26B";"-";"-";"-"
"TFX";"(80.8M)";"(102.7M)";"(90.69M)";"(71.62M)";"(79.19M)";"(121.03M)";"(3.46M)";"(767.83M)";"(4.59M)";"(198.43M)";"-";"14.35M";"1.4M";"224.91M";"12.43M"
"TGT";"(3.52B)";"(3.03B)";"(2.65B)";"(3.54B)";"(5.53B)";"-";"-";"-";"-";"-";"85M";"63M";"42M";"383M";"8M"
"TJX";"(1.13B)";"(1.22B)";"(568.02M)";"(1.04B)";"(1.46B)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"TMO";"(758M)";"(926M)";"(1.47B)";"(2.52B)";"(2.24B)";"(536M)";"(1.84B)";"(38M)";"(19.4B)";"(39M)";"50M";"1.16B";"8M";"20M";"24M"
"TMUS";"(5.67B)";"(7.36B)";"(12.37B)";"(21.69B)";"(17.3B)";"(338M)";"(31M)";"(5B)";"(1.92B)";"(52M)";"-";"38M";"1.86B";"40M";"9M"
"TPR";"(274.2M)";"(205.4M)";"(116M)";"(93.9M)";"(184.2M)";"(43.5M)";"-";"-";"-";"-";"-";"-";"23.9M";"-";"-"
"TRGP";"(3.11B)";"(2.88B)";"(951.6M)";"(505.1M)";"(1.33B)";"(100K)";"-";"-";"-";"(4.64B)";"1.07B";"570.1M";"240.2M";"28M";"49.1M"
"TRMB";"(67.6M)";"(69M)";"(56.8M)";"(46.1M)";"(43.2M)";"(1.76B)";"(220.8M)";"(201.9M)";"(236.1M)";"(373.5M)";"-";"-";"-";"88.1M";"215.4M"
"TROW";"(168.5M)";"(204.6M)";"(214.6M)";"(239.1M)";"(237.6M)";"(23.8M)";"(18.4M)";"(53.9M)";"(2.47B)";"(8.7M)";"-";"-";"-";"-";"-"
"TRV";"-";"-";"-";"-";"-";"(4M)";"-";"-";"(38M)";"(4M)";"-";"-";"-";"-";"-"
"TSCO";"(278.53M)";"(217.45M)";"(294M)";"(628.43M)";"(773.37M)";"-";"-";"-";"-";"(390.77M)";"2.22M";"2.49M";"1.79M";"1.09M";"70.41M"
"TSLA";"(2.32B)";"(1.44B)";"(3.24B)";"(8.01B)";"(7.17B)";"(17.91M)";"(45M)";"(13M)";"-";"(45M)";"437.13M";"279M";"24M";"2M";"-"
"TSN";"(1.2B)";"(1.26B)";"(1.2B)";"(1.21B)";"(1.89B)";"(1.47B)";"(2.46B)";"-";"-";"-";"797M";"170M";"29M";"1.19B";"-"
"TT";"(365.6M)";"(205.4M)";"(146.2M)";"(223M)";"(291.8M)";"(285.2M)";"(83.4M)";"(182.8M)";"(269.2M)";"(234.7M)";"22.1M";"2.2M";"100K";"15.1M";"9.7M"
"TTWO";"(66.97M)";"(53.38M)";"(68.92M)";"(158.64M)";"(204.2M)";"(28.15M)";"(12.04M)";"(102.47M)";"(161.33M)";"(3.31B)";"-";"-";"-";"-";"-"
"TXN";"(1.13B)";"(847M)";"(649M)";"(2.46B)";"(2.8B)";"-";"-";"-";"-";"-";"9M";"30M";"4M";"75M";"3M"
"TXT";"(369M)";"(339M)";"(317M)";"(375M)";"(354M)";"(23M)";"(2M)";"(15M)";"-";"(202M)";"807M";"-";"33M";"41M";"22M"
"TYL";"(27.42M)";"(42.04M)";"(28.47M)";"(55.61M)";"(50.15M)";"(178.09M)";"(218.73M)";"(1.29M)";"(2.09B)";"(163.92M)";"-";"-";"-";"-";"-"
"UAL";"(4.07B)";"(4.53B)";"(1.73B)";"(2.11B)";"(4.82B)";"-";"-";"-";"-";"-";"-";"-";"-";"107M";"207M"
"UDR";"(117.21M)";"(184.35M)";"(174.11M)";"(166.52M)";"(236.01M)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UHS";"(701.21M)";"(655.51M)";"(734.21M)";"(855.66M)";"(734M)";"(110.46M)";"(8.01M)";"(52.01M)";"(105.42M)";"(68.81M)";"13.5M";"10.9M";"26.13M";"38.62M";"12M"
"ULTA";"(319.4M)";"(298.53M)";"(151.87M)";"(172.19M)";"(312.13M)";"(13.61M)";"-";"(1.22M)";"-";"-";"-";"-";"-";"-";"-"
"UNH";"(2.06B)";"(2.07B)";"(2.05B)";"(2.45B)";"(2.8B)";"(6B)";"(8.34B)";"(7.14B)";"(6.16B)";"(21.63B)";"-";"-";"-";"-";"3.41B"
"UNP";"(3.44B)";"(3.45B)";"(2.93B)";"(2.94B)";"(3.62B)";"-";"-";"-";"-";"-";"63M";"74M";"149M";"178M";"194M"
"UPS";"(6.28B)";"(6.38B)";"(5.41B)";"(4.19B)";"(4.77B)";"(2M)";"(6M)";"(20M)";"(602M)";"(755M)";"37M";"65M";"40M";"872M";"12M"
"URI";"(2.29B)";"(2.35B)";"(1.16B)";"(3.2B)";"(3.69B)";"(2.97B)";"(249M)";"(2M)";"(1.44B)";"(2.34B)";"687M";"868M";"900M";"998M";"989M"
"USB";"-";"-";"-";"-";"-";"-";"-";"-";"(167M)";"-";"-";"-";"-";"-";"12.26B"
"V";"(718M)";"(756M)";"(736M)";"(705M)";"(970M)";"(196M)";"(699M)";"(77M)";"(75M)";"(1.95B)";"14M";"-";"-";"-";"-"
"VFC";"(269M)";"(333.84M)";"(274.2M)";"(328.32M)";"(261.25M)";"(320.41M)";"-";"(2.01B)";"-";"-";"430.29M";"-";"-";"620.69M";"99.5M"
"VICI";"(899K)";"(2.72M)";"(2.77M)";"(2.51M)";"(1.88M)";"-";"-";"-";"-";"(4.57B)";"-";"-";"-";"-";"-"
"VLO";"(3.2B)";"(2.85B)";"(2.44B)";"(2.46B)";"(2.74B)";"(468M)";"-";"-";"-";"-";"32M";"-";"-";"189M";"265M"
"VMC";"(469.09M)";"(384.09M)";"(362.19M)";"(451.3M)";"(612.6M)";"(221.42M)";"(44.15M)";"(43.22M)";"(1.64B)";"(529.2M)";"33.47M";"24.41M";"12.43M";"216.5M";"88.7M"
"VNO";"(574.81M)";"(69.7M)";"(1.16M)";"(3M)";"(3M)";"-";"-";"-";"-";"-";"61.06M";"1.27B";"100.09M";"4.05M";"5.61M"
"VRSK";"(231M)";"(216.8M)";"(246.8M)";"(268.4M)";"(274.7M)";"(138.2M)";"(699.2M)";"(275.8M)";"(289.8M)";"(448.9M)";"-";"-";"23.1M";"-";"1.07B"
"VRSN";"(37.01M)";"(40.32M)";"(43.4M)";"(53.03M)";"(27.4M)";"-";"(9.87M)";"-";"-";"-";"52.24M";"-";"20.81M";"-";"-"
"VRTX";"(95.52M)";"(75.45M)";"(259.8M)";"(235M)";"(204.7M)";"-";"(1.15B)";"-";"-";"(295.9M)";"-";"-";"-";"-";"-"
"VTR";"(131.86M)";"(156.72M)";"(148.23M)";"(185.28M)";"(222.13M)";"(4.72M)";"-";"(8.24M)";"(24.22M)";"(170K)";"1.88M";"6.28M";"1.31M";"1.73M";"5.37M"
"VTRS";"(252.1M)";"(406M)";"(681.2M)";"(509.4M)";"(443M)";"(65.9M)";"(148.7M)";"-";"-";"-";"29.3M";"28M";"417.9M";"392M";"1.96B"
"VZ";"(18.09B)";"(18.84B)";"(20.32B)";"(67.88B)";"(26.74B)";"(230M)";"(29M)";"(520M)";"(4.07B)";"248M";"-";"28M";"-";"4.12B";"33M"
"WAB";"(93.31M)";"(185.3M)";"(136.4M)";"(130M)";"(149M)";"(51.15M)";"(3B)";"(40.3M)";"(435M)";"(89M)";"11.29M";"3.9M";"21.3M";"25M";"3M"
"WAT";"(96.08M)";"(163.82M)";"(172.38M)";"(168.27M)";"(183.46M)";"(31.49M)";"-";"(80.55M)";"-";"-";"-";"-";"-";"-";"-"
