"tickers";"capex2018";"capex2019";"capex2020";"capex2021";"capex2022";"net_assets_from_acquisitions2018";"net_assets_from_acquisitions2019";"net_assets_from_acquisitions2020";"net_assets_from_acquisitions2021";"net_assets_from_acquisitions2022";"sale_of_fixed_assets_businesses2018";"sale_of_fixed_assets_businesses2019";"sale_of_fixed_assets_businesses2020";"sale_of_fixed_assets_businesses2021";"sale_of_fixed_assets_businesses2022"
"AMT";"(913.2M)";"(991.3M)";"(1.03B)";"(1.38B)";"(1.87B)";"(1.9B)";"(3.45B)";"(4.66B)";"(19.48B)";"(549M)";"-";"-";"-";"3.08B";"3.12B"
"AMZN";"(13.43B)";"(16.86B)";"(40.14B)";"(61.05B)";"(63.65B)";"(2.19B)";"(2.46B)";"(2.33B)";"(1.99B)";"(8.32B)";"2.1B";"4.17B";"5.1B";"5.66B";"5.32B"
"ANET";"(23.83M)";"(15.75M)";"(15.38M)";"(64.74M)";"(44.64M)";"(96.82M)";"(1.37M)";"(227.42M)";"-";"(145.09M)";"-";"-";"-";"-";"-"
"ANSS";"(21.76M)";"(44.94M)";"(35.37M)";"(23.02M)";"(24.37M)";"(283.03M)";"(787.2M)";"(572.33M)";"(510.81M)";"(386.26M)";"-";"-";"-";"-";"-"
"AON";"(240M)";"(225M)";"(141M)";"(137M)";"(196M)";"(68M)";"(39M)";"(368M)";"(14M)";"(162M)";"-";"52M";"30M";"218M";"81M"
"AOS";"(85.2M)";"(64.4M)";"(56.8M)";"(75.1M)";"(70.3M)";"-";"(107M)";"-";"(207.6M)";"(8M)";"-";"-";"-";"-";"-"
"APA";"(3.9B)";"(2.96B)";"(1.3B)";"(1.11B)";"(1.81B)";"-";"-";"-";"-";"(591M)";"138M";"1.33B";"166M";"256M";"778M"
"APD";"(1.57B)";"(1.99B)";"(2.51B)";"(2.46B)";"(2.93B)";"(345.4M)";"(123.2M)";"(183.3M)";"(10.5M)";"(65.1M)";"48.8M";"11.1M";"80.3M";"37.5M";"67.2M"
"APH";"(310.6M)";"(295M)";"(276.8M)";"(360.4M)";"(383.8M)";"(158.9M)";"(937.4M)";"(50.4M)";"(2.23B)";"(288.2M)";"5M";"7.4M";"12.7M";"3.7M";"5.6M"
"APTV";"(846M)";"(781M)";"(584M)";"(611M)";"(844M)";"(1.2B)";"(334M)";"(49M)";"(130M)";"(4.31B)";"13M";"14M";"10M";"9M";"4M"
"ARE";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28.28M";"1.02B";"367.61M";"2.03B";"1.54B"
